Team Name,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Captain,Bench
McDud,Zeki,Saajan,Tom,Rarnott,Liam T,Meadows,Liam T,Tom
Rarnotts Team,Zeki,Saajan,Alfie,Rhys,Rarnott,Meadows,Rarnott,Alfie
Brighton Rock,Zeki,Alfie,Joe,Rarnott,Rhys,Meadows,Meadows,Joe
The Chairman,Zeki,Jake,Saajan,Liam T,Rhys,Meadows,Meadows,Jake
Fight and Win,Dan,Saajan,Alfie,Liam T,Rarnott,Luke S,Liam T,Alfie
DANNY KEDWELLS BARMY ARMY,Dan,Tom,Joe,Rhys,Rarnott,Meadows,Rarnott,Tom
Average Joe,Dan,Saajan,Joe,Rarnott,Liam T,Luke S,Liam T,Joe
beast fc,Dan,Alfie,Saajan,Liam T,Nathan,Meadows,Liam T,Meadows
Wiseguys,Dan,Saajan,Alfie,Liam T,Nathan,Meadows,Liam T,Nathan
Liamel Mcssi,Zeki,Jake,Saajan,Rhys,Liam T,Meadows,Liam T,Jake
Better Call Seoul,Zeki,Saajan,Tom,Liam T,Rarnott,Meadows,Liam T,Tom
Charles Dickins,Zeki,Saajan,Alfie,Rhys,Rarnott,Jay,Rhys,Jay
FC BALLBUSTERBILLING,Zeki,Saajan,Alfie,Rhys,Rarnott,Jay,Saajan,Jay
Bank on Dave,Zeki,Saajan,Alfie,Rhys,Liam T,Cam,Rhys,Saajan
